sottoinsieme,modello,blocco,riferimento,rmse_mean,rmse_std,differenza_media,differenza_std,differenza_in_dispersioni,fold_peggiori,n_fold,differenza_min,differenza_max
FD001,Regressione polinomiale,Superamento della linearita',Percettrone multistrato,17.7518080339106,1.2810430151488073,1.1710306530093486,0.3673239258678132,3.1880053831036337,15,15,0.7106322908659521,2.045859894354765
FD001,Albero di regressione potato,Famiglia ad albero,Percettrone multistrato,18.480329760564977,1.2678146850781478,1.8995523796637248,0.4333148392302445,4.383769508189832,15,15,1.2179166948119793,2.5471782613961516
FD001,"SVR, kernel lineare",Metodi a margine e reti,Percettrone multistrato,20.32026803269804,1.1151073566881924,3.7394906517967863,0.6736576055041652,5.551025656421043,15,15,2.7566590250913947,4.811544291812952
FD001,Ridge,Modelli lineari,Percettrone multistrato,20.326974161087016,1.1370967772030849,3.7461967801857625,0.6273581155173289,5.971384903655215,15,15,2.8899579382922767,4.875933418589481
FD001,Elastic Net,Modelli lineari,Percettrone multistrato,20.32903388417386,1.1254295529714602,3.7482565032726103,0.6344903319045163,5.907507671585264,15,15,2.9018083831038624,4.854053115071862
FD001,Forward stepwise selection,Modelli lineari,Percettrone multistrato,20.34498991206653,1.1832488422931218,3.7642125311652808,0.6236938920377265,6.035352565129158,15,15,2.8677774408681067,4.968966610990032
FD001,Backward stepwise selection,Modelli lineari,Percettrone multistrato,20.34498991206653,1.1832488422931158,3.7642125311652825,0.6236938920377343,6.035352565129085,15,15,2.8677774408680996,4.968966610990078
FD001,Best subset selection,Modelli lineari,Percettrone multistrato,20.34498991206653,1.1832488422931158,3.7642125311652825,0.6236938920377343,6.035352565129085,15,15,2.8677774408680996,4.968966610990078
FD001,Lasso,Modelli lineari,Percettrone multistrato,20.345049998924,1.181612550929106,3.76427261802275,0.6235606350984593,6.036738700524893,15,15,2.8691441193679204,4.97215746175579
FD001,Regressione lineare multipla,Modelli lineari,Percettrone multistrato,20.34521944370695,1.1833444302246183,3.764442062805698,0.6241812956061686,6.031007480206355,15,15,2.8676758470439445,4.972134409768332
FD001,Regressione sulle componenti principali,Modelli lineari,Percettrone multistrato,20.35345029223353,1.173308734185352,3.77267291133228,0.6323085135661707,5.9665065871953855,15,15,2.8951819642494385,5.019283582784352
FD001,"SVR, kernel polinomiale",Metodi a margine e reti,Percettrone multistrato,23.354282037551588,0.9261220489161728,6.773504656650335,0.7859919640023532,8.617778510303008,15,15,5.782106323001081,8.864607873772327
FD001,Regressione sul solo numero di ciclo,Metodi a margine e reti,Percettrone multistrato,27.87823796074896,2.466999459821219,11.297460579847703,2.42141156321844,4.66565071029544,15,15,7.382390330020291,14.636254366073011
FD001,Predizione costante,Metodi a margine e reti,Percettrone multistrato,41.69369866169996,0.1352960421542735,25.112921280798705,1.408578532200675,17.82855602773091,15,15,22.361204485418117,27.2709408040095
FD003,Percettrone multistrato,Metodi a margine e reti,Percettrone multistrato,14.042110172887716,1.056928682431698,0.0,0.0,,0,15,0.0,0.0
FD003,XGBoost,Famiglia ad albero,Percettrone multistrato,14.55752607981364,1.108313780975701,0.5154159069259215,0.4512612407161038,1.1421674640348265,13,15,-0.1435892751221175,1.5867043051356422
FD003,Gradient boosting,Famiglia ad albero,Percettrone multistrato,14.578151409731197,1.136059295825964,0.5360412368434774,0.4393378757429659,1.220111596199112,13,15,-0.1681777267444619,1.5514835685581687
FD003,"SVR, kernel radiale",Metodi a margine e reti,Percettrone multistrato,14.675922928166866,1.36637585230459,0.6338127552791462,0.6435981724503639,0.9847957660694376,14,15,-1.0492476160423294,1.3599179438792586
FD003,Foresta casuale,Famiglia ad albero,Percettrone multistrato,14.701185322024946,1.2149820785707273,0.6590751491372314,0.5325285053834874,1.237633558531509,14,15,-0.0562087125971206,2.282582658848902
FD003,Bagging di alberi,Famiglia ad albero,Percettrone multistrato,14.938252520701754,1.1051195655556287,0.8961423478140355,0.4997601326406017,1.793144929506589,15,15,0.2442850080086263,2.101381969018444
FD003,AdaBoost,Famiglia ad albero,Percettrone multistrato,15.520887998725083,1.176271622006909,1.4787778258373665,0.7695081425348681,1.9217182302529825,15,15,0.423853930455536,3.444503811859427
FD003,Regression spline,Superamento della linearita',Percettrone multistrato,15.914276053764754,1.0974651246939104,1.8721658808770352,0.4870165154568402,3.844152757573059,15,15,0.9555580185723596,2.760235664478955
