insieme,n_clusters,metodo,linkage,silhouette,ari_vs_kmeans,dimensione_minima,dimensione_massima,ari_vs_reference
unione,4,kmeans,,0.3471881580115732,1.0,44,54,0.1246139295240371
unione,4,agglomerative,ward,0.3413751379057803,0.8938365149810795,44,56,0.1267444397919861
unione,4,agglomerative,complete,0.4040751702234347,0.672978750398132,1,102,0.1359092023857381
unione,4,agglomerative,average,0.3972818111740484,0.6391907559588953,1,97,0.1355133333670481
unione,5,kmeans,,0.3385075016086157,1.0,21,51,0.1153279843105235
unione,5,agglomerative,ward,0.3462516100884574,0.8117906075378919,1,56,0.1223928085718712
unione,5,agglomerative,complete,0.3436984636140933,0.584641475385717,1,102,0.1358637579830097
unione,5,agglomerative,average,0.3383028274163854,0.5696641761801667,1,97,0.1272247644248081
unione,6,kmeans,,0.3405084160620046,1.0,1,50,0.1109492467397217
unione,6,agglomerative,ward,0.3378039974126415,0.89577783658749,1,56,0.1121975136554451
unione,6,agglomerative,complete,0.3064537712153425,0.7722932608817271,1,56,0.1218387719915641
unione,6,agglomerative,average,0.2630937253301371,0.5996501519505514,1,97,0.1248911239047899
FD001_senza_durata,2,kmeans,,0.2656255317155537,1.0,38,62,
FD001_senza_durata,2,agglomerative,ward,0.2619833859177506,0.8444889800545335,38,62,
FD001_senza_durata,2,agglomerative,complete,0.1276811167615187,0.0760695932810968,33,67,
FD001_senza_durata,2,agglomerative,average,0.264928799414553,0.8820944099269067,37,63,
FD001_senza_durata,3,kmeans,,0.2505011915593549,1.0,33,34,
FD001_senza_durata,3,agglomerative,ward,0.2375724587130576,0.7720295171420375,29,38,
FD001_senza_durata,3,agglomerative,complete,0.23677872177275,0.8264112125498264,33,34,
FD001_senza_durata,3,agglomerative,average,0.2475611632735427,0.8248531272733942,31,37,
FD001_senza_durata,4,kmeans,,0.2357973827761254,1.0,16,31,
FD001_senza_durata,4,agglomerative,ward,0.229280364785498,0.8052298514999922,12,33,
FD001_senza_durata,4,agglomerative,complete,0.2291024251282361,0.7700449035838497,12,34,
FD001_senza_durata,4,agglomerative,average,0.2387181898143473,0.8605021795351461,12,32,
FD001_senza_durata,5,kmeans,,0.2196931739871937,1.0,8,30,
FD001_senza_durata,5,agglomerative,ward,0.1689724884674476,0.6902001211567279,12,29,
FD001_senza_durata,5,agglomerative,complete,0.211455256877115,0.7280537863548363,3,33,
FD001_senza_durata,5,agglomerative,average,0.2210224766920662,0.8403619600478061,3,31,
FD001_senza_durata,6,kmeans,,0.1823242548043402,1.0,6,26,
FD001_senza_durata,6,agglomerative,ward,0.158428676665162,0.6498886145246442,11,26,
FD001_senza_durata,6,agglomerative,complete,0.1558346092602011,0.6453917523738587,3,31,
FD001_senza_durata,6,agglomerative,average,0.2188633418304053,0.7508111120023631,3,31,
FD003_senza_durata,2,kmeans,,0.5418656779179132,1.0,44,56,
FD003_senza_durata,2,agglomerative,ward,0.5418656779179132,1.0,44,56,
FD003_senza_durata,2,agglomerative,complete,0.4537577068879777,0.0054535716024735,1,99,
FD003_senza_durata,2,agglomerative,average,0.4537577068879777,0.0054535716024735,1,99,
FD003_senza_durata,3,kmeans,,0.4912824846205558,1.0,16,44,
