subset,blocco,label,config,rmse_mean,rmse_std,mae_mean,r2_mean,n_configurations,n_fit
FD001,Metodi a margine e reti,"SVR, kernel polinomiale","C=10, epsilon=16, gamma=0.06",23.354282037551588,0.9261220489161724,19.050875746629497,0.6851106813443372,140,15
FD001,Baseline,Regressione sul solo numero di ciclo,baseline,27.87823796074896,2.466999459821219,21.4877355600322,0.5485938927853348,1,15
FD001,Baseline,Predizione costante,baseline,41.69369866169996,0.135296042154274,36.97767650695546,-0.0021040037904417,1,15
FD003,Metodi a margine e reti,Percettrone multistrato,"hidden_layer_sizes=(128, 64), learning_rate_init=0.0001, max_iter=250",14.042110172887716,1.056928682431698,9.243837730304463,0.8798398543362335,175,15
FD003,Famiglia ad albero,XGBoost,"learning_rate=0.05, max_depth=5, n_estimators=300",14.55752607981364,1.1083137809757015,9.350061575571695,0.8708310604095459,36,15
FD003,Famiglia ad albero,Gradient boosting,"learning_rate=0.05, max_depth=5, n_estimators=300",14.578151409731197,1.136059295825964,9.35708818566233,0.8704469819791009,36,15
FD003,Metodi a margine e reti,"SVR, kernel radiale","C=10, epsilon=4, gamma=0.05",14.675922928166866,1.36637585230459,9.43390361431369,0.8686307711746964,150,15
FD003,Famiglia ad albero,Foresta casuale,"max_features=0.33, min_samples_leaf=5",14.701185322024946,1.214982078570727,9.452252599450668,0.868071340812078,15,15
FD003,Famiglia ad albero,Bagging di alberi,nessun iperparametro,14.938252520701754,1.1051195655556283,9.435337120413628,0.8639504174276198,1,15
FD003,Famiglia ad albero,AdaBoost,"max_depth=6, learning_rate=0.01, n_estimators=800",15.520887998725083,1.176271622006909,10.7223990073094,0.8529027690897212,100,15
FD003,Superamento della linearita',Regression spline,"degree=1, knots=uniform, n_knots=12",15.914276053764754,1.0974651246939109,12.048196036655968,0.8456965088922049,30,15
FD003,Superamento della linearita',Modello additivo generalizzato,"lam=10, n_splines=20",15.945531144649989,1.0917546856303442,12.063941393592115,0.8451286781132403,45,15
FD003,Superamento della linearita',Step functions,"n_bins=30, strategy=quantile",16.095433238118655,1.080293305738448,12.195273959890107,0.842209293224052,16,15
FD003,Superamento della linearita',Regressione polinomiale,degree=2,16.43929677031008,1.0199972895779468,12.512680724218924,0.8353487871210626,3,15
FD003,Famiglia ad albero,Albero di regressione potato,ccp_alpha=0.3981,16.87085065576091,1.1265305807617,10.712741395587138,0.8266319660368704,27,15
FD003,Metodi a margine e reti,"SVR, kernel lineare","C=0.01, epsilon=8",19.826376866261008,1.5184211207915954,15.525044073971095,0.7602663198442094,35,15
FD003,Modelli lineari,Forward stepwise selection,k=15,19.84859550183314,1.448683217770911,15.489306994022474,0.7598361147444517,19,15
FD003,Modelli lineari,Backward stepwise selection,k=15,19.848595501833145,1.448683217770914,15.48930699402248,0.7598361147444517,19,15
FD003,Modelli lineari,Best subset selection,k=15,19.848595501833145,1.448683217770914,15.48930699402248,0.7598361147444517,524287,15
FD003,Modelli lineari,Ridge,alpha=1778,19.88186911728864,1.4487799388672395,15.714973394878935,0.7588347881183233,41,15
FD003,Modelli lineari,Elastic Net,"alpha=0.1265, l1_ratio=0.05",19.88964032861062,1.4539644433528662,15.75830992612367,0.7586663435315902,450,15
FD003,Modelli lineari,Lasso,alpha=0.1842,19.919334204273245,1.458839892756735,15.650600329628048,0.7578588393926246,50,15
FD003,Modelli lineari,Regressione lineare multipla,nessun iperparametro,19.934353229674223,1.4627086198488848,15.6195707704193,0.7574442371381309,1,15
FD003,Modelli lineari,Regressione sulle componenti principali,n_components=19,19.934353229674223,1.462708619848886,15.619570770419305,0.7574442371381309,19,15
FD003,Metodi a margine e reti,"SVR, kernel polinomiale","C=0.1, epsilon=16, gamma=0.06",26.33517002452136,2.6689653590488507,20.77643957552765,0.5741951074322229,140,15
FD003,Baseline,Regressione sul solo numero di ciclo,baseline,35.116392875210266,2.6448117304438967,27.53391431944592,0.2436986988884737,1,15
FD003,Baseline,Predizione costante,baseline,40.72951635327887,0.6507487992345734,35.548959995243266,-0.0070002087024855,1,15
